original_amount,txn_date,plaid_category,plaid_dirty_name
3.52,2020-08-31,"['Food and Drink', 'Restaurants', 'Fast Food']",White Castle
14.26,2019-10-15,"['Shops', 'Discount Stores']",Dollar General
31.54,2020-12-07,"['Shops', 'Pharmacies']",POS DEBIT JEWEL OSCO 3474
54.06,2019-05-07,"['Shops', 'Pets']",CHEWY.COM
21.65,2019-05-29,"['Travel', 'Gas Stations']",Debit Purchase -visa 05/28 card 6332 Marathon Petro12versailles
2.5,2019-02-05,['Food and Drink'],PepsiCo
5,2018-09-21,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
19.61,2018-12-31,"['Shops', 'Beauty Products']",MAXX BEAUTY SUPPLY YONKERS NY 12/30
26.66,2019-10-29,"['Shops', 'Beauty Products']",ULTA 1402 NEW YORK NY 10/29
5.14,2020-12-02,"['Travel', 'Gas Stations']",QuikTrip
24.5,2019-09-30,"['Shops', 'Supermarkets and Groceries']",ADEN FOOD MARKET
10,2019-07-10,"['Travel', 'Public Transportation Services']",VENTRA MOBILE IL 07/09
12.82,2019-12-16,"['Shops', 'Convenience Stores']",Cumberland Farms
47.77,2020-12-12,"['Shops', 'Clothing and Accessories']",T.J.Maxx
40.84,2019-06-14,"['Shops', 'Clothing and Accessories']",T.J. Maxx
11.78,2020-01-10,"['Shops', 'Supermarkets and Groceries']",ADEN FOOD MARKET
4.97,2020-10-19,"['Travel', 'Gas Stations']",FOOD SMAR 2901 W ARMIT CHICAGO IL 10/17
100,2020-10-05,"['Shops', 'Digital Purchase']",GLOBALPOK GOLD COINS TA XBIEX 10/03
55.05,2020-10-06,"['Shops', 'Convenience Stores']",Cumberland Farms
5.27,2017-08-18,"['Food and Drink', 'Restaurants']",DUNKIN #307815 Q35 BROOKLYN NY 08/17
11.08,2020-09-28,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
4.89,2017-08-04,"['Food and Drink', 'Restaurants']",DUNKIN #338221 Q35 BROOKLYN NY 08/02
5,2018-10-09,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
54.35,2020-07-13,"['Shops', 'Convenience Stores']",Cumberland Farms
10,2020-10-19,"['Shops', 'Digital Purchase']",GLOBALPOK GOLD COINS TA XBIEX 10/18
27,2019-02-19,['Service'],"WIX.COM, INC."
59.86,2020-03-12,"['Shops', 'Pets']",CHEWY.COM
41.2,2020-03-05,"['Shops', 'Pets']",CHEWY INC
3.26,2018-06-04,"['Shops', 'Pharmacies']",Duane Reade
50,2020-08-11,"['Shops', 'Digital Purchase']",GLOBALPOK GOLD COINS TA XBIEX 08/11
418.92,2018-08-17,"['Transfer', 'Debit']",ALLY CASHBACK
50.82,2019-11-03,"['Shops', 'Pets']",CHEWY.COM
17.45,2020-10-10,"['Food and Drink', 'Restaurants', 'Fast Food']",Panda Express
48.6,2020-09-16,['Service'],WIX.COM*7585691
9.26,2020-12-17,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
143.81,2019-01-14,"['Service', 'Insurance']",State Farm
204,2019-10-15,['Service'],"Recurring Debit Purchase 10/10 card 6332 Wix*wix.com, Inc415-4499034"
8.27,2019-04-29,"['Shops', 'Supermarkets and Groceries']",ADEN FOOD MARKET
34.79,2019-09-09,"['Shops', 'Clothing and Accessories']",T.J.Maxx
26.63,2020-05-18,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
3.75,2019-01-28,"['Travel', 'Gas Stations']",MARATHON PETRO21 01-27-19 MURRAY
17.37,2020-12-17,"['Shops', 'Pharmacies']",POS DEBIT JEWEL OSCO 3474
0.96,2020-04-13,"['Travel', 'Gas Stations']",QuikTrip
124.79,2020-05-27,"['Service', 'Insurance']",State Farm
250,2019-08-05,"['Transfer', 'Debit']",ALLY CASHBACK
8,2019-03-25,"['Travel', 'Parking']",SPOTHERO 8443568054 IL 03/24
20,2020-10-19,"['Shops', 'Digital Purchase']",GLOBALPOK GOLD COINS TA XBIEX 10/17
124.79,2020-03-25,"['Service', 'Insurance']",State Farm
59.18,2019-11-18,"['Shops', 'Beauty Products']",ULTA #1620 PHOENIX AZ 11/17
9.99,2020-01-28,['Service'],WIX.COM*5946298
107.84,2021-01-19,"['Service', 'Insurance']",State Farm
9.91,2020-11-25,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
14.95,2019-08-31,"['Shops', 'Digital Purchase']",Audible
7.04,2020-12-07,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
32.99,2020-09-11,"['Travel', 'Parking']",SPOTHERO HTTPSSPOTHERO
2,2020-12-18,"['Travel', 'Parking']",POS DEBIT NYCDOT PARKING METERS
5,2019-04-18,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
7.99,2019-11-18,"['Shops', 'Supermarkets and Groceries']",ADEN FOOD MARKET
3.55,2019-07-14,"['Service', 'Shipping and Freight']",UPS
118.45,2019-05-23,"['Shops', 'Beauty Products']",Sephora
50,2018-12-25,"['Travel', 'Gas Stations']",Sheetz
56.78,2020-03-29,"['Food and Drink', 'Restaurants']",Chick-fil-A
24,2019-07-08,"['Shops', 'Supermarkets and Groceries']",ADEN FOOD MARKET
9.24,2020-06-17,"['Travel', 'Gas Stations']",FOOD SMAR 2901 W ARMIT CHICAGO IL 06/17
62.01,2019-06-10,"['Travel', 'Gas Stations']",Cumberland Farms
14.95,2019-06-30,"['Shops', 'Digital Purchase']",Audible
49.49,2020-01-27,"['Food and Drink', 'Restaurants']",Hover.Com
13.6,2020-02-03,"['Shops', 'Pharmacies']",Duane Reade
13.32,2020-08-17,"['Travel', 'Gas Stations']",FOOD SMAR 2901 W ARMIT CHICAGO IL 08/16
51.17,2021-01-27,"['Shops', 'Beauty Products']",Sephora
8.59,2021-01-25,"['Food and Drink', 'Restaurants', 'Fast Food']",White Castle
32.99,2020-09-17,"['Travel', 'Parking']",SPOTHERO
1.75,2018-09-14,['Food and Drink'],PepsiCo
55.12,2020-02-15,"['Shops', 'Beauty Products']",Sephora
11.83,2020-06-25,"['Food and Drink', 'Restaurants', 'Fast Food']",Panda Express
12.7,2020-03-10,"['Shops', 'Clothing and Accessories']",Ross Dress for Less
25,2019-09-06,"['Shops', 'Supermarkets and Groceries']",ADEN FOOD MARKET
5,2018-07-24,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
2.11,2020-01-27,"['Food and Drink', 'Restaurants']",Chick-fil-A
16,2019-05-20,"['Shops', 'Digital Purchase']",Audible
106.85,2020-05-06,"['Shops', 'Beauty Products']",Sephora
49.22,2020-12-10,"['Shops', 'Beauty Products']",Sephora
7.86,2019-09-03,"['Travel', 'Gas Stations']",Sheetz
0.47,2021-01-09,"['Travel', 'Gas Stations']",Sheetz
49.83,2019-02-04,"['Shops', 'Pets']",CHEWY.COM
16.19,2019-10-17,"['Food and Drink', 'Restaurants']",Tropical Smoothie Cafe
39.09,2020-03-30,"['Shops', 'Convenience Stores']",Cumberland Farms
10.21,2019-05-06,"['Food and Drink', 'Restaurants', 'Fast Food']",White Castle
14.83,2020-11-16,"['Shops', 'Pharmacies']",Duane Reade
16.24,2020-09-04,"['Shops', 'Digital Purchase']",Audible
15.54,2021-01-23,"['Service', 'Food and Beverage']",(FIS) DOORDASH*CHICK- DOORDASH*CHICK-FIL- +x9470 CA;4961
1,2020-12-24,"['Food and Drink', 'Restaurants']",Chick-Fil-A
20.42,2019-04-29,"['Food and Drink', 'Restaurants', 'Fast Food']",Panda Express
10,2019-05-24,"['Travel', 'Parking']",SPOTHERO 8443568054 IL 05/23
29.83,2020-11-17,"['Shops', 'Beauty Products']",ULTA.COM
5,2018-09-14,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
5,2020-10-23,"['Shops', 'Digital Purchase']",GLOBALPOK GOLD COINS TA XBIEX 10/22
8,2020-11-15,"['Food and Drink', 'Restaurants', 'Fast Food']",Panda Express
23.13,2020-10-03,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
10.01,2019-05-23,"['Travel', 'Gas Stations']",Debit Purchase -visa 05/22 card 6332 Marathon Petro74floyds Knobsin
5,2019-10-17,"['Travel', 'Public Transportation Services']",VENTRA ACCOUNT
13.37,2018-12-11,"['Shops', 'Pharmacies']",Duane Reade
20,2021-01-04,"['Shops', 'Digital Purchase']",POS DEBIT GLOBALPOK GOLD COINS TA XBIEX
646.57,2017-11-28,"['Transfer', 'Debit']",ALLY CASHBACK
7.89,2021-01-19,"['Travel', 'Gas Stations']",POS DEBIT FOOD SMAR 2901 W ARMIT CHICAGO IL 00NN09742
13.4,2019-11-12,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
14.95,2020-10-10,"['Shops', 'Digital Purchase']",Audible
20,2019-12-03,"['Shops', 'Supermarkets and Groceries']",ADEN FOOD MARKET
30.22,2019-05-20,"['Travel', 'Gas Stations']",Debit Purchase -visa 05/17 card 6332 Marathon Petro11morehead
16.09,2019-09-30,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
628,2017-10-24,"['Transfer', 'Debit']",ALLY CASHBACK
17,2020-01-22,['Service'],Recurring Payment - WIX.COM*590650591
16.09,2020-12-11,"['Shops', 'Beauty Products']",Sephora
4.08,2020-11-30,"['Travel', 'Gas Stations']",FOOD SMAR 2901 W ARMIT CHICAGO IL 11/29
24.85,2019-10-15,['Service'],"Recurring Debit Purchase 10/10 card 6332 Wix.com, Inc."
12.59,2019-09-24,"['Shops', 'Discount Stores']",Dollar General
8.86,2020-10-31,"['Food and Drink', 'Restaurants', 'Fast Food']",Panda Express
5,2019-06-07,"['Travel', 'Public Transportation Services']",VENTRA MOBILE IL 06/06
58.82,2020-01-10,"['Shops', 'Convenience Stores']",Cumberland Farms
1.61,2020-07-05,"['Travel', 'Gas Stations']",QuikTrip
5,2019-10-25,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
10,2019-09-03,"['Travel', 'Public Transportation Services']",VENTRA MOBILE IL 09/01
10,2019-09-24,"['Travel', 'Public Transportation Services']",VENTRA MOBILE IL 09/23
15.93,2020-08-03,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
5,2018-04-03,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
20,2020-07-27,"['Shops', 'Digital Purchase']",GLOBALPOK GOLD COINS TA XBIEX 07/24
4,2020-07-03,"['Travel', 'Parking']",NYCDOT PARKING METERS LONG IS CITY NY 07/02
24.04,2019-12-02,"['Travel', 'Gas Stations']",Sheetz
11.58,2019-03-14,"['Food and Drink', 'Restaurants']",Chick-fil-A
5,2019-06-05,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
48.6,2020-10-15,['Service'],WIX.COM*7810933
5,2018-01-19,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
64.17,2019-09-15,"['Shops', 'Clothing and Accessories']",T.J.Maxx
8.27,2020-12-21,"['Shops', 'Discount Stores']",Dollar General
13.4,2019-11-04,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
9.93,2020-11-23,"['Shops', 'Clothing and Accessories']",ROSS STORE #2290 MELROSE PARK IL 11/21
5,2018-10-10,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
5,2019-06-12,"['Travel', 'Public Transportation Services']",VENTRA MOBILE IL 06/11
28.3,2020-02-03,"['Shops', 'Pharmacies']",Duane Reade
3.69,2020-05-21,"['Shops', 'Discount Stores']",Dollar General
3.78,2020-09-29,"['Travel', 'Gas Stations']",MARATHON PETRO1207 09-27 FORT
7,2019-10-22,"['Travel', 'Parking']",SPOTHERO 844-356-805 HTTPSSPOTHERO IL 10/21
31,2016-08-19,"['Travel', 'Public Transportation Services']",Metropolitan Transportation Authority
93.49,2019-11-08,"['Shops', 'Beauty Products']",Sephora
67.5,2020-09-24,"['Shops', 'Beauty Products']",Sephora
22.23,2020-04-29,"['Service', 'Shipping and Freight']",THE UPS STORE #5581 MARINA DEL RA
7.5,2020-10-20,"['Travel', 'Parking']",SPOTHERO 844-35
6.84,2020-09-02,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
5,2020-07-09,"['Shops', 'Digital Purchase']",GLOBALPOK GOLD COINS TA XBIEX 07/08
9.99,2019-06-10,"['Shops', 'Supermarkets and Groceries']",ADEN FOOD MARKET
8.36,2020-06-10,"['Travel', 'Gas Stations']",MARATHON PETRO1207 06-08 FORT
17.36,2020-07-16,"['Shops', 'Pets']",CHEWY.COM
2,2020-12-10,"['Travel', 'Parking']",POS DEBIT NYCDOT PARKING METERS
6.29,2017-03-01,"['Food and Drink', 'Restaurants']",DUNKIN #338221 Q35 BROOKLYN NY 02/28
5,2018-07-27,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
1,2019-09-17,"['Travel', 'Parking']",NYCDOT PARKING METERS LONG IS CITY NY 09/16
1.75,2020-01-27,['Food and Drink'],PepsiCo
8.55,2020-03-27,"['Shops', 'Pets']",CHEWY INC
5,2019-06-24,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
3.75,2020-10-20,"['Travel', 'Parking']",NYCDOT PARKING METERS LONG IS CITY NY 10/19
5,2019-09-04,"['Travel', 'Public Transportation Services']",VENTRA MOBILE IL 09/03
20.39,2020-02-19,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
9.99,2019-10-30,['Service'],"WIX.COM, INC."
1,2020-09-28,"['Service', 'Shipping and Freight']",THE UPS STORE #5673 14
8.75,2019-11-17,"['Shops', 'Discount Stores']",Dollar Tree
38.43,2020-11-27,"['Shops', 'Convenience Stores']",Cumberland Farms
1.78,2020-10-13,"['Travel', 'Gas Stations']",MARATHON PETRO1207 10-11 FORT
83.04,2021-02-01,"['Shops', 'Pharmacies']",POS DEBIT JEWEL OSCO 3474
15.17,2020-10-11,"['Shops', 'Beauty Products']",Sephora
11.15,2020-08-14,"['Travel', 'Gas Stations']",Marathon Petro23
5,2019-06-22,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
4.89,2017-08-11,"['Food and Drink', 'Restaurants']",DUNKIN #307815 Q35 BROOKLYN NY 08/10
4.23,2020-03-16,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
2.17,2016-09-12,"['Food and Drink', 'Restaurants']",DUNKIN #331707 Q35 BROOKLYN NY 09/09
24,2020-07-03,"['Food and Drink', 'Restaurants', 'Fast Food']",Panda Express
7.08,2020-07-03,"['Shops', 'Discount Stores']",Dollar General
9.99,2019-08-30,['Service'],"WIX.COM, INC."
3.31,2019-06-10,"['Shops', 'Pharmacies']",Duane Reade
149.52,2018-05-04,"['Transfer', 'Debit']",ALLY CASHBACK
7.69,2019-11-08,"['Shops', 'Department Stores']",ROSS STORES #1 11/08 PURCHASE CRESTWOOD IL DEBIT CARD *0044
7.39,2020-01-06,"['Shops', 'Supermarkets and Groceries']",ADEN FOOD MARKET
6.94,2020-04-29,"['Shops', 'Pets']",CHEWY INC
127.21,2020-07-29,"['Shops', 'Beauty Products']",Sephora
8.11,2020-11-23,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
50,2020-10-29,"['Shops', 'Digital Purchase']",GLOBALPOK GOLD COINS TA XBIEX 10/28
4,2020-01-10,"['Travel', 'Parking']",NYCDOT PARKING METERS LONG IS CITY NY 01/09
14.38,2020-11-30,"['Food and Drink', 'Restaurants']",Tropical Smoothie Cafe
17.05,2020-01-28,"['Travel', 'Gas Stations']",MARATHON PETRO2197 01-27 MURRAY
5,2019-05-30,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
13.77,2018-12-22,"['Shops', 'Clothing and Accessories']",T.J.Maxx
17,2020-02-24,['Service'],Recurring Payment - WIX.COM*610525371
50,2020-10-19,"['Shops', 'Digital Purchase']",GLOBALPOK GOLD COINS TA XBIEX 10/16
5,2019-10-30,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
10.5,2018-01-05,"['Travel', 'Public Transportation Services']",Metropolitan Transportation Authority
9.99,2019-12-02,"['Shops', 'Supermarkets and Groceries']",White Castle
5,2020-07-09,"['Service', 'Personal Care']",GLOBALPOK GOLD COIN gp@vgw.co 07/08
53.46,2019-02-04,"['Shops', 'Pets']",CHEWY.COM
5,2019-10-01,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
25.75,2020-07-20,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
8.86,2020-10-31,"['Food and Drink', 'Restaurants', 'Fast Food']",Panda Express
16,2019-12-19,"['Shops', 'Digital Purchase']",Audible
26.71,2020-06-15,"['Service', 'Food and Beverage']",DOORDASH*CHICK-FIL WWW.DOORDASH.
268.67,2019-10-18,"['Transfer', 'Debit']",ALLY CASHBACK
10,2020-12-14,"['Food and Drink', 'Restaurants']",Chick-Fil-A
5,2019-06-10,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
208.61,2020-11-04,"['Shops', 'Beauty Products']",Sephora
20,2020-10-19,"['Shops', 'Digital Purchase']",GLOBALPOK GOLD COINS TA XBIEX 10/16
17.56,2019-03-19,"['Shops', 'Clothing and Accessories']",T.J.Maxx
8.11,2020-09-28,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
4.99,2019-06-07,"['Shops', 'Supermarkets and Groceries']",ADEN FOOD MARKET
13.87,2020-11-24,"['Service', 'Shipping and Freight']",UPS
105,2020-02-01,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
51.27,2020-04-30,"['Travel', 'Gas Stations']",Cumberland Farms
10,2019-09-09,"['Travel', 'Public Transportation Services']",VENTRA MOBILE IL 09/06
6.51,2019-06-12,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
50,2020-08-13,"['Shops', 'Digital Purchase']",GLOBALPOK GOLD COINS TA XBIEX 08/12
5,2019-10-31,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
14.95,2019-02-28,"['Shops', 'Digital Purchase']",Audible
3,2019-01-25,"['Travel', 'Public Transportation Services']",Ventra 98 N. Wabash CHICAGO IL 01/25
13.78,2020-06-12,"['Shops', 'Discount Stores']",Dollar Tree
11.66,2020-12-22,"['Shops', 'Discount Stores']",Dollar Tree
15.09,2020-01-22,"['Food and Drink', 'Restaurants', 'Fast Food']",White Castle
6,2019-10-02,"['Travel', 'Parking']",SPOTHERO 844-356-805 HTTPSSPOTHERO IL 10/01
14.74,2020-09-17,"['Travel', 'Gas Stations']",FOOD SMAR 2901 W ARMIT CHICAGO IL 09/17
7.34,2020-07-27,"['Food and Drink', 'Restaurants']",Chick-Fil-A
33.76,2020-12-09,"['Shops', 'Clothing and Accessories']",T J MAXX 808 COLUMBUS
2,2020-12-28,"['Travel', 'Parking']",POS DEBIT NYCDOT PARKING METERS
5,2018-07-30,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
10,2019-08-05,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
12.86,2020-04-08,"['Service', 'Shipping and Freight']",UPS
50,2020-10-19,"['Shops', 'Digital Purchase']",GLOBALPOK GOLD COINS TA XBIEX 10/16
12.71,2019-04-08,"['Food and Drink', 'Restaurants']",HN-DUNKIN ST211
19.53,2020-07-24,"['Travel', 'Gas Stations']",QuikTrip
5,2019-05-31,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
13.21,2021-01-09,"['Travel', 'Gas Stations']",Sheetz
26.41,2020-03-23,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
19.79,2020-12-31,"['Food and Drink', 'Restaurants']",Tropical Smoothie Cafe
6,2019-11-12,"['Travel', 'Parking']",SPOTHERO 844-356-805 HTTPSSPOTHERO IL 11/11
12.83,2020-09-30,"['Service', 'Insurance']",State Farm
10,2019-10-29,"['Travel', 'Public Transportation Services']",VENTRA MOBILE IL 10/28
38.06,2019-05-17,"['Travel', 'Gas Stations']",QuikTrip
22.28,2020-04-13,"['Shops', 'Convenience Stores']",Cumberland Farms
5,2019-10-29,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
53.4,2020-08-19,"['Shops', 'Pets']",CHEWY.COM FL PMT-T3FCPCBE2J
124.79,2020-07-24,"['Service', 'Insurance']",State Farm
9.13,2019-06-03,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
19.23,2020-11-11,"['Food and Drink', 'Restaurants', 'Fast Food']",Panda Express
13.51,2018-10-01,"['Food and Drink', 'Restaurants']",Tropical Smoothie Cafe
14.95,2019-12-20,['Service'],"Recurring Payment - Wix.Com, Inc."
7.33,2019-09-18,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
26.14,2019-04-08,"['Service', 'Shipping and Freight']",UPS US SHIP 4029357733
113.58,2020-12-23,"['Service', 'Insurance']",State Farm
20,2020-10-19,"['Shops', 'Digital Purchase']",GLOBALPOK GOLD COINS TA XBIEX 10/16
21.26,2019-07-02,"['Travel', 'Gas Stations']",QuikTrip
8.11,2020-12-15,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
10.89,2019-11-12,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
5,2018-01-28,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
5,2018-07-31,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
191.6,2019-09-27,"['Transfer', 'Debit']",ALLY CASHBACK
6.61,2018-05-03,"['Food and Drink', 'Restaurants', 'Fast Food']",White Castle
5,2020-07-07,"['Shops', 'Digital Purchase']",GLOBALPOK GOLD COINS TA XBIEX 07/06
15.9,2019-10-06,"['Shops', 'Clothing and Accessories']",T.J.Maxx
5,2019-11-25,"['Travel', 'Public Transportation Services']",VENTRA MOBILE IL 11/23
20,2019-12-11,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
32,2017-08-31,"['Travel', 'Public Transportation Services']",Metropolitan Transportation Authority
2.89,2019-06-17,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
6.65,2016-10-17,"['Food and Drink', 'Restaurants']",DUNKIN #352392 Q3 NEW YORK NY 10/15
20,2020-10-19,"['Shops', 'Digital Purchase']",GLOBALPOK GOLD COINS TA XBIEX 10/16
9.98,2019-11-20,"['Shops', 'Supermarkets and Groceries']",ADEN FOOD MARKET
12.2,2020-09-30,"['Service', 'Shipping and Freight']",UPS
2.25,2018-10-23,['Food and Drink'],PepsiCo
15.88,2019-07-19,"['Shops', 'Pharmacies']",Duane Reade
358.48,2020-06-05,"['Service', 'Shipping and Freight']",UPS
6.5,2020-01-23,"['Travel', 'Parking']",SPOTHERO 844-356-805 HTTPSSPOTHERO IL 01/22
10.78,2020-11-30,['Service'],"Wix.Com, Inc."
20.32,2019-06-03,"['Travel', 'Gas Stations']",FOOD SMAR 2901 W ARMIT CHICAGO IL 06/02
13.29,2020-09-26,"['Travel', 'Gas Stations']",Sheetz
18,2018-03-08,"['Food and Drink', 'Restaurants']",Chick-fil-A
2.51,2020-06-03,"['Travel', 'Gas Stations']",MARATHON PETRO1207 06-01 FORT
12.96,2020-08-03,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
14.38,2020-10-14,"['Food and Drink', 'Restaurants']",Tropical Smoothie Cafe
17.16,2019-11-01,"['Food and Drink', 'Restaurants', 'Fast Food']",Panda Express
19.79,2020-10-13,"['Food and Drink', 'Restaurants']",Tropical Smoothie Cafe
10,2020-10-27,"['Shops', 'Digital Purchase']",GLOBALPOK GOLD COINS TA XBIEX 10/26
10.89,2019-04-04,"['Shops', 'Beauty Products']",Sephora
3,2018-09-23,"['Shops', 'Discount Stores']",Dollar Tree
4.31,2020-11-30,"['Shops', 'Beauty Products']",ULTA
6,2019-12-18,"['Travel', 'Parking']",SPOTHERO 844-356-805 HTTPSSPOTHERO IL 12/17
12.54,2019-09-06,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
21.6,2020-08-24,"['Shops', 'Discount Stores']",Dollar General
2,2019-10-18,"['Shops', 'Pharmacies']",Duane Reade
6.75,2017-09-08,"['Food and Drink', 'Restaurants']","DUNKIN #354484 Q35 TITUSVILLE, FL, US"
7.65,2019-03-08,"['Shops', 'Clothing and Accessories', ""Women's Store""]",Ross Dress for Less
21.64,2019-09-27,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
5,2018-11-01,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
10,2019-12-02,"['Travel', 'Public Transportation Services']",VENTRA MOBILE IL 11/29
40.12,2021-02-03,"['Travel', 'Gas Stations']",QuikTrip
300,2019-08-26,"['Transfer', 'Debit']",ALLY CASHBACK
4.08,2021-01-05,"['Travel', 'Gas Stations']",FOOD SMAR 2901 W ARMIT CHICAGO IL 01/05
16,2019-01-22,"['Shops', 'Digital Purchase']",Audible
29,2019-08-14,"['Shops', 'Supermarkets and Groceries']",ADEN FOOD MARKET
17.53,2020-10-05,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
5,2019-02-02,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
3.27,2020-06-09,"['Shops', 'Discount Stores']",Dollar General
5,2019-06-25,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
11.83,2020-06-05,"['Food and Drink', 'Restaurants', 'Fast Food']",Panda Express
102.83,2020-07-09,"['Shops', 'Pets']",CHEWY INC
5.29,2019-07-18,"['Food and Drink', 'Restaurants']",TROPICAL SMOOTHIE IA-05
2.5,2019-01-14,"['Travel', 'Parking']",NYCDOT PARKING METERS LONG IS CITY NY 01/12
8.46,2019-09-09,"['Shops', 'Discount Stores']",Dollar General
3.5,2019-10-18,['Food and Drink'],PepsiCo
4.06,2020-07-06,"['Shops', 'Pharmacies']",JEWEL OSCO 3485 LAKE ZURICH IL 07/04
4.59,2020-12-22,"['Travel', 'Gas Stations']",FOOD SMAR 2901 W ARMIT CHICAGO IL 12/22
25,2019-12-20,"['Travel', 'Parking']",SPOTHERO 844-356-805 HTTPSSPOTHERO IL 12/20
150,2019-09-18,"['Transfer', 'Debit']",ALLY CASHBACK
20,2019-05-28,"['Shops', 'Supermarkets and Groceries']",ADEN FOOD MARKET
5,2019-08-02,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
5,2019-05-03,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
100,2020-10-21,"['Shops', 'Digital Purchase']",GLOBALPOK GOLD COINS TA XBIEX 10/20
3.24,2020-10-31,"['Shops', 'Discount Stores']",Dollar Tree
6.71,2019-09-26,"['Food and Drink', 'Restaurants']",Panda Express
5,2018-08-10,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
12.76,2019-04-26,"['Shops', 'Supermarkets and Groceries']",Jewel-Osco
14.95,2020-06-23,"['Shops', 'Bookstores']",Audible
3.31,2020-01-13,"['Shops', 'Pharmacies']",Duane Reade
32,2017-08-24,"['Travel', 'Public Transportation Services']",Metropolitan Transportation Authority
3.26,2017-09-05,"['Food and Drink', 'Restaurants']",DUNKIN #338221 Q35 BROOKLYN NY 09/02
14.25,2019-08-05,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
3.51,2020-10-05,"['Travel', 'Gas Stations']",MARATHON PETRO12 FLAT ROCK NC 10/04
1.99,2019-01-20,"['Food and Drink', 'Restaurants']",White Castle
1237.3,2018-11-08,"['Transfer', 'Debit']",ALLY CASHBACK
14.08,2020-08-10,"['Service', 'Insurance']",State Farm
27,2020-05-05,"['Service', 'Shipping and Freight']","UPS*1ZT80G7U4300004815, 800-811-1648"
18.21,2019-07-15,"['Food and Drink', 'Restaurants']",Chick-fil-A
10,2020-01-13,"['Travel', 'Public Transportation Services']",VENTRA MOBILE IL 01/10
1.08,2020-06-02,"['Shops', 'Discount Stores']",Dollar General
172.32,2020-03-11,"['Shops', 'Clothing and Accessories']",Ross Dress for Less
136.36,2019-11-25,"['Service', 'Insurance']",State Farm
